,column_name,percent_missing
shar2_3,shar2_3,0.7598163585840281
intel5_3,intel5_3,0.7598163585840281
attr5_3,attr5_3,0.7598163585840281
amb7_3,amb7_3,0.7598163585840281
fun7_3,fun7_3,0.7598163585840281
intel7_3,intel7_3,0.7598163585840281
sinc7_3,sinc7_3,0.7598163585840281
attr7_3,attr7_3,0.7598163585840281
sinc5_3,sinc5_3,0.7598163585840281
fun5_3,fun5_3,0.7598163585840281
shar7_3,shar7_3,0.7598163585840281
amb5_3,amb5_3,0.7598163585840281
attr7_2,attr7_2,0.7630784100519512
fun7_2,fun7_2,0.7630784100519512
intel7_2,intel7_2,0.7630784100519512
shar7_2,shar7_2,0.7642865772622931
amb7_2,amb7_2,0.7665820949619427
sinc7_2,sinc7_2,0.7665820949619427
expnum,expnum,0.7848254198381056
numdat_3,numdat_3,0.8216745197535339
num_in_3,num_in_3,0.9201401473963997
